HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
IIIIIIXZYYZX	(1.1161634319056332e-06+0j)
IIIIIIIIZZIX	(9.472842156001138e-08+0j)
IIIIIIIIZZZX	(-9.472842156001138e-08+0j)
IIIIIIXYYZIX	(0.0037453828497883267+0j)
IIIIIIXXXIZX	(4.250850789069968e-08+0j)
IIIIIIXYXIIY	(-0.003745340341280436+0j)
IIIIIIXXYZIY	(-0.003745340341280436+0j)
IIIIIIXYYZZX	(-4.250850789069968e-08+0j)
IIIIIIXXXIIX	(-0.0037453828497883267+0j)
IIIIIIYIYZIX	(1.8327134300494246e-07+0j)
IIIIIIYIXIIY	(-1.8327082497177946e-07+0j)
IIIIIIXZYZIY	(-1.8327082497177946e-07+0j)
IIIIIIXZXIIX	(-1.8327134300494246e-07+0j)
IIIIIIIZIIZX	(-0.0033994088963640906+0j)
IIIIIIIZIIIX	(0.0033994088963640906+0j)
IIIIIIZXIIZX	(0.00019218543870772682+0j)
IIIIIIIXIIZX	(-0.00044047053670583027+0j)
IIIIIIZYIIIY	(-0.0002482850979981042+0j)
IIIIIIIYIIZY	(-0.0002482850979981042+0j)
IIIIIIZXIIIX	(-0.00044047053670583027+0j)
IIIIIIIXIIIX	(0.00019218543870772682+0j)
IIIIIIZZIIZX	(3.896681592703587e-06+0j)
IIIIIIZZIIIX	(-3.896681592703587e-06+0j)
IIIIIIIIZZXX	(6.64767039948097e-08+0j)
IIIIIIIIIIYY	(6.64767039948097e-08+0j)
IIIIIIXYYZXX	(-0.005022497346487115+0j)
IIIIIIXXYZXY	(0.005022497346487115+0j)
IIIIIIYIYZXX	(-0.019808851197073943+0j)
IIIIIIXZYZXY	(0.019808851197073943+0j)
IIIIIIIIIXIZ	(-8.840803176628581e-08+0j)
IIIIIIIIZXZZ	(8.840803176628581e-08+0j)
IIIIIIIIZXXX	(-4.34315646992596e-08+0j)
IIIIIIIIZYXY	(-4.34315646992596e-08+0j)
IIIIIIXYYXXX	(0.004401561635725783+0j)
IIIIIIXXXYYX	(-3.753126428618445e-08+0j)
IIIIIIXYXXYX	(-0.004401524104461495+0j)
IIIIIIXXYXXY	(-0.004401524104461495+0j)
IIIIIIXYYYXY	(3.753126428618445e-08+0j)
IIIIIIXXXXYY	(0.004401561635725783+0j)
IIIIIIYIYXXX	(6.328029601551598e-07+0j)
IIIIIIYIXXYX	(-6.32798820154814e-07+0j)
IIIIIIXZYXXY	(-6.32798820154814e-07+0j)
IIIIIIXZXXYY	(6.328029601551598e-07+0j)
IIIIIIIZIYYX	(0.0034861150188671038+0j)
IIIIIIIZIXYY	(-0.0034861150188671038+0j)
IIIIIIZXIYYX	(-0.0004079704671352853+0j)
IIIIIIIXIYYX	(0.0009355795305662299+0j)
IIIIIIZYIXYX	(-0.0005276090634309455+0j)
IIIIIIIYIYYY	(0.0005276090634309455+0j)
IIIIIIZXIXYY	(0.0009355795305662299+0j)
IIIIIIIXIXYY	(-0.0004079704671352853+0j)
IIIIIIZZIYYX	(7.655896943423477e-07+0j)
IIIIIIZZIXYY	(-7.655896943423477e-07+0j)
IIIIIIXYXZYX	(0.0028060999463097864+0j)
IIIIIIXXXZYY	(-0.0028060999463097864+0j)
IIIIIIYIXZYX	(-0.01980926897624738+0j)
IIIIIIXZXZYY	(0.01980926897624738+0j)
IIIIIIIZZIXX	(0.0026958450046056666+0j)
IIIIIIIZIZYY	(0.0026958450046056666+0j)
IIIIIIZXZIXX	(-0.005940562590665118+0j)
IIIIIIIXZIXX	(0.013613141769180125+0j)
IIIIIIZYIZYX	(0.007672579178515006+0j)
IIIIIIIYZIXY	(0.007672579178515006+0j)
IIIIIIZXIZYY	(-0.013613141769180125+0j)
IIIIIIIXIZYY	(0.005940562590665118+0j)
IIIIIIZZZIXX	(1.1710166368915086e-06+0j)
IIIIIIZZIZYY	(1.1710166368915086e-06+0j)
IIIIIIYZYIXX	(-0.01811903680586257+0j)
IIIIIIXIYIXY	(0.01811903680586257+0j)
IIIIIIYXYIXX	(-9.597550147416756e-07+0j)
IIIIIIYYYIXY	(-9.597550147416756e-07+0j)
IIIIIZIIIIIZ	(0.12531468759841527+0j)
IIIIIZIIIIZX	(3.421812292594435e-07+0j)
IIIIIZIIIIIX	(-3.421812292594435e-07+0j)
IIIIIZIIZIXX	(8.796168092259375e-08+0j)
IIIIIZIIIZYY	(8.796168092259375e-08+0j)
IIIIIZXYYIXX	(-1.135000103225084e-06+0j)
IIIIIZXXYIXY	(1.135000103225084e-06+0j)
IIIIIZYIYIXX	(-0.02198852382968056+0j)
IIIIIZXZYIXY	(0.02198852382968056+0j)
IIIIIXIIIIIZ	(-3.421812292594435e-07+0j)
IIIIZXZIZIIZ	(3.421812292594435e-07+0j)
IIIIIXIIIIZX	(-0.026802514908999+0j)
IIIIZXZIZIZX	(0.026802514908999+0j)
IIIIIXIIIIIX	(0.026802514908999+0j)
IIIIZXZIZIIX	(-0.026802514908999+0j)
